wave_height,0.981031416,1.182770673,1.786838385,1.672907811,1.381413225,
20,65.50072675,65.92402851,67.80516264,67.57307565,67.42718995,
40,65.8143002,65.41440685,67.74519124,67.72793503,65.64549618,
60,65.35394627,66.047105,67.55433701,67.65143687,65.93719076,
80,65.5768451,66.19279225,67.3088097,67.05938745,66.52134562,
100,68.31190249,68.37809907,70.24407531,69.86057229,68.75203179,
150,68.31190249,68.37809907,70.24407531,69.86057229,68.75203179,
200,68.31190249,68.37809907,70.24407531,69.86057229,68.75203179,
250,68.31190249,68.37809907,70.24407531,69.86057229,68.75203179,
300,68.31190249,68.37809907,70.24407531,69.86057229,68.75203179,
350,68.31190249,68.37809907,70.24407531,69.86057229,68.75203179,
400,68.31190249,68.37809907,70.24407531,69.86057229,68.75203179
